Location, Longitude,Latitude
Jefferson City MO,-92.1735,38.5767
Johnson City TN,-82.3535,36.3134
Kalamazoo-Portage MI,-85.5872,42.2917
Kalispell MT,-114.3168,48.2021
Kansas City MO-KS,-94.5786,39.0997
Kapaa HI,-159.3157,22.0964
Kennewick-Richland WA,-119.1372,46.2112
Kerrville TX,-99.1393,30.0474
Kill Devil Hills NC,-75.6613,36.0307
Killeen-Temple TX,-97.7431,31.1171
Knoxville TN,-83.9207,35.9606
Lafayette LA,-92.0198,30.2241
Lake Charles LA,-93.2174,30.2266
Lakeland-Winter Haven FL,-81.9519,28.0395
Lancaster PA,-76.3055,40.0379
Lansing-East Lansing MI,-84.5555,42.7325
Laredo TX,-99.5075,27.5306
Las Vegas-Henderson-Paradise NV,-115.1398,36.1699
Lawrence KS,-95.2353,38.9717
Lebanon PA,-76.4115,40.3409
Lexington-Fayette KY,-84.5037,38.0406
Lincoln NE,-96.6817,40.8136
Little Rock-North Little Rock-Conway AR,-92.3341,34.7465
Logan UT-ID,-111.8384,41.7362
Los Angeles,-118.2437,34.0522
Louisville/Jefferson County KY-IN,-85.7585,38.2527
Lubbock TX,-101.8552,33.5779
Lumberton NC,-79.0088,34.6182
Macon-Bibb County GA,-83.6487,32.8407
Madison WI,-89.4012,43.0731
Manchester-Nashua NH,-71.4635,42.9956
Manhattan KS,-96.5717,39.1836
McPherson KS,-97.6597,38.3714
Medford OR,-122.8756,42.3265
Memphis TN-MS-AR,-90.0489,35.1495
Miami,-80.1918,25.7617
Michigan City-La Porte IN,-86.8894,41.7075
Midland TX,-102.0779,31.9974
Milwaukee-Waukesha-West Allis WI,-87.9065,43.0389
Minneapolis,-93.265,44.9778
Mobile AL,-88.0431,30.6954
Modesto CA,-121.0168,37.6391
Monroe LA,-92.1193,32.5093
Monroe MI,-83.3977,41.9164
Montgomery AL,-86.299,32.3792
Morehead City NC,-76.746,34.7229
Morgantown WV,-79.9561,39.6295
Morristown TN,-83.2949,36.2135
Moses Lake WA,-119.2781,47.1301
Myrtle Beach-Conway-North Myrtle Beach SC-NC,-78.8867,
Macon-Bibb County GA,-83.6324,32.8407
Madison WI,-89.4012,43.0731
Manchester-Nashua NH,-71.4334,42.9956
Manhattan KS,-96.5717,39.1836
McPherson KS,-97.6636,38.3716
Medford OR,-122.8756,42.3265
Memphis TN-MS-AR,-90.0489,35.1495
Miami,-80.1917902,25.7616798
Michigan City-La Porte IN,-86.9847,41.6322
Midland TX,-102.0779,31.9974
Milwaukee-Waukesha-West Allis WI,-88.0342,43.0389
Minneapolis,-93.265,44.9778
Mobile AL,-88.0431,30.6954
Modesto CA,-120.9969,37.6391
Monroe LA,-92.1193,32.5093
Monroe MI,-83.3966,41.9164
Montgomery AL,-86.299,32.3792
Morehead City NC,-76.746,34.7229
Morgantown WV,-79.9569,39.6295
Morristown TN,-83.2949,36.2135
Moses Lake WA,-119.281,47.1301
Myrtle Beach-Conway-North Myrtle Beach SC-NC,-78.8867,33.6891
Napa CA,-122.2869,38.2975
Naples-Immokalee-Marco Island FL,-81.3896,26.142
Nashville,-86.7816,36.1627
New Castle PA,-80.347,41.0037
New Haven-Milford CT,-72.9068,41.3082
New Orleans-Metairie LA,-90.0715,29.9511
New Philadelphia-Dover OH,-81.3459,40.4897
New York City,-74.006,40.7128
North Port-Sarasota-Bradenton FL,-82.5236,27.037
Ocala FL,-82.1401,29.1872
Ocean City NJ,-74.6081,39.2776
Ogden-Clearfield UT,-112.0011,41.223
Oklahoma City OK,-97.5164,35.4676
Olympia-Tumwater WA,-122.8931,47.0379
Omaha-Council Bluffs NE-IA,-95.9384,41.2565
Orlando FL,-81.3792,28.5383
Owosso MI,-84.1766,42.9978
Oxnard-Thousand Oaks-Ventura CA,-119.2375,34.2805
Parkersburg-Vienna WV,-81.5615,39.2667
Pensacola-Ferry Pass-Brent FL,-87.2169,30.4213
Philadelphia,-75.1652,39.9526
Phoenix,-112.074,33.4484
Pittsburgh PA,-79.9959,40.4406
Port St. Lucie FL,-80.3582,27.273
Portland OR,-122.6765,45.5231
Portland-South Portland ME,-70.2553,43.6615
Pottsville PA,-76.1955,40.6857
Prineville OR,-120.8499,44.3001
Providence-Warwick RI-MA,-71.4128,41.8231
Provo-Orem UT,-111.6576,40.2338
Pueblo CO,-104.6091,38.2544
Pullman WA,-117.171,46.7298
Racine WI,-87.7828,42.7261
Raleigh NC,-78.6382,35.7796
Reading PA,-75.9269,40.3356
Red Wing MN,-92.5358,44.5625
Redding CA,-122.3917,40.5865
Reno NV,-119.8138,39.5296
Richmond VA,-77.436,37.5407
Riverside-San Bernardino-Ontario CA,-117.1611,34.0522
Roanoke VA,-79.9414,37.2709
Rochester MN,-92.463,44.0216
Rochester NY,-77.6109,43.161
Rockford IL,-89.0937,42.2714
Rome GA,-85.1647,34.257
Sacramento CA,-121.4944,38.5816
Salem OR,-123.0351,44.9429
Salinas CA,-121.6555,36.6777
Salisbury MD-DE,-75.5982,38.3657
Salt Lake City,-111.891,40.7608
San Antonio TX,-98.4936,29.4241
San Diego,-117.1611,32.7157
San Francisco,-122.4194,37.7749
San Jose,-121.8863,37.3382
San Juan-Carolina-Caguas PR,-66.1057,18.4655
San Luis Obispo-Paso Robles-Arroyo Grande CA,-120.6596,35.2828
Santa Cruz-Watsonville CA,-121.9978,36.9741
Santa Maria-Santa Barbara CA,-120.4579,34.4208
Santa Rosa CA,-122.7141,38.4404
Savannah GA,-81.0998,32.0836
Scranton--Wilkes-Barre--Hazleton PA,-75.6624,41.408
Seattle,-122.3321,47.6062
Selinsgrove PA,-76.8621,40.7972
Sevierville TN,-83.5623,35.8681
Shreveport-Bossier City LA,-93.7502,32.5252
Sioux City IA-NE-SD,-96.4003,42.4999
Sioux Falls SD,-96.7311,43.5473
South Bend-Mishawaka IN-MI,-86.25,41.6764
Spartanburg SC,-81.932,34.9496
Spirit Lake IA,-95.1123,43.421
Spokane-Spokane Valley WA,-117.426,47.6588
Springfield IL,-89.6501,39.7817
Springfield MA,-72.5898,42.1015
Springfield MO,-93.2923,37.2086
Springfield OH,-83.8267,39.9242
St. Cloud MN,-94.1632,45.5579
St. George UT,-113.5684,37.0965
St. Louis MO-IL,-90.1994,38.627
Staunton-Waynesboro VA,-79.0717,38.1496
Stillwater OK,-97.0586,36.1156
Summit Park UT,-111.5012,40.7527
Tallahassee FL,-84.2807,30.4383
Tampa,-82.4572,27.9506
Terre Haute IN,-87.4139,39.464
The Villages FL,-81.9519,28.7028
Toledo OH,-83.5379,41.6528
Topeka KS,-95.689,39.0473
Torrington CT,-73.1212,41.8004
Traverse City MI,-85.6206,44.7631
Trenton NJ,-74.7429,40.2206
Tucson AZ,-110.9747,32.2226
Tulsa OK,-95.9928,36.154
Tupelo MS,-88.7034,34.2576
Twin Falls ID,-114.4609,42.8684
Tyler TX,-95.3011,32.3513
Urban Honolulu HI,-157.8583,21.3069
Utica-Rome NY,-75.5254,43.1009
Vallejo-Fairfield CA,-122.2566,38.2494
Virginia Beach-Norfolk-Newport News VA-NC,-76.2859,36.8529
Visalia-Porterville CA,-119.2921,36.3302
Waco TX,-97.1467,31.5497
Warner Robins GA,-83.6242,32.613
Washington DC,-77.0369,38.9072
Waterloo-Cedar Falls IA,-92.3321,42.4928
Wenatchee WA,-120.3103,47.4235
Wichita KS,-97.3375,37.6872
Wilmington NC,-77.9447,34.2104
Winchester VA-WV,-78.1633,39.1857
Winona MN,-91.6393,44.0582
Winston-Salem NC,-80.2442,36.0999
Wooster OH,-81.9334,40.8051
Worcester MA-CT,-71.8023,42.2626
Yakima WA,-120.5015,46.6022
York-Hanover PA,-76.7277,39.9626
Youngstown-Warren-Boardman OH-PA,-80.6495,41.0998
